proyecto1,objetivos1,8/2/2024,15/02/2024,En Progreso,alumnos1
proyecto2,objetivos2,8/2/2024,15/02/2024,En Progreso,alumnos2
proyecto3,objetivos3,8/2/2024,15/02/2024,En Progreso,alumnos3
proyecto4,objetivos4,8/2/2024,15/02/2024,En Progreso,alumnos4
proyecto5,objetivos5,8/2/2024,15/02/2024,En Progreso,alumnos5
proyecto6,objetivos6,8/2/2024,15/02/2024,En Progreso,alumnos6
proyecto7,objetivos7,8/2/2024,15/02/2024,En Progreso,alumnos7
proyecto8,objetivos8,8/2/2024,15/02/2024,En Progreso,alumnos8
proyecto9,objetivos9,8/2/2024,15/02/2024,En Progreso,alumnos9
proyecto10,objetivos10,8/2/2024,15/02/2024,En Progreso,alumnos10
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
